index	file	width	height	category	event_type	scene	recommended_use	alt	tags	quality_notes	duplicate_of
010	ChatGPT Image May 2, 2026, 05_46_57 PM.png	1672	941	illustration	non_miami_reference	Dragon-shaped light over a modern city at night.	possible_blog_art_only	Dragon-shaped light over a city at night.	dragon; city; night; illustration	Stylized illustration, not a Miami event image.	
011	ChatGPT Image May 3, 2026, 08_53_55 PM (1).png	1672	941	event_photo_style	wedding_reception	Ballroom dance floor with pink and teal uplighting and guests dancing.	miami_event_lighting_gallery	Guests dancing in a ballroom with pink and teal uplighting.	wedding; reception; dance_floor; uplighting; ballroom	Good lighting and dance-floor atmosphere image.	
012	ChatGPT Image May 3, 2026, 08_53_55 PM (2).png	1672	941	cocktail_photo_style	corporate_event	Rooftop cocktail lounge with Miami skyline at sunset.	miami_corporate_or_private_event_gallery	Guests at a rooftop cocktail event with the Miami skyline at sunset.	rooftop; cocktail_hour; skyline; private_event; corporate	Strong skyline and social-event image.	
013	ChatGPT Image May 3, 2026, 08_53_56 PM (3).png	1672	941	event_photo_style	quinceanera	Formal ballroom entrance with quinceanera guest of honor and family applauding.	miami_quinceanera_gallery	Quinceanera ballroom entrance with family and guests applauding.	quinceanera; ballroom; entrance; formal_moment	Strong quinceanera hero/support image.	
014	ChatGPT Image May 3, 2026, 08_53_56 PM (4).png	1672	941	cocktail_photo_style	corporate_event	Evening terrace cocktail event overlooking Biscayne Bay or downtown Miami.	miami_corporate_event_gallery	Guests mingling on a Miami terrace during an evening cocktail event.	terrace; cocktail_hour; skyline; waterfront; corporate	Good corporate/private event atmosphere image.	
015	ChatGPT Image May 3, 2026, 08_53_56 PM (5).png	1672	941	event_photo_style	wedding_ceremony	Waterfront wedding ceremony with floral arch and Miami skyline.	miami_ceremony_audio_gallery	Waterfront Miami wedding ceremony with a floral arch and skyline view.	wedding; ceremony; waterfront; floral_arch; Miami	Strong ceremony image; useful for ceremony audio content.	
016	ChatGPT Image May 3, 2026, 08_53_56 PM (6).png	1672	941	event_photo_style	wedding_reception	Outdoor night reception with guests dancing under stage lights.	miami_wedding_or_lighting_gallery	Guests dancing at an outdoor night reception with beams of light.	wedding; reception; outdoor; dance_floor; lighting	Good dance lighting image.	
017	ChatGPT Image May 4, 2026, 08_26_05 PM (1).png	1672	941	cocktail_photo_style	corporate_event	Rooftop cocktail reception with downtown Miami sunset view.	miami_corporate_event_gallery	Rooftop cocktail reception with downtown Miami skyline at sunset.	rooftop; cocktail_hour; Miami_skyline; corporate	Strong skyline image for corporate/private-event pages.	
018	ChatGPT Image May 4, 2026, 08_26_05 PM (2).png	1672	941	event_photo_style	corporate_event	Formal ballroom prepared for dinner, screens, and blue uplighting.	miami_corporate_event_gallery	Corporate ballroom dinner setup with presentation screens and blue uplighting.	corporate; ballroom; presentation; uplighting; dinner	Good conference or gala setup image.	
019	ChatGPT Image May 4, 2026, 08_26_06 PM (3).png	1672	941	dj_photo_style	corporate_event	DJ at controller in an upscale cocktail room.	miami_dj_gallery	DJ working at a controller during an upscale Miami event.	DJ; controller; cocktail_event; production	Useful DJ-working image.	
020	ChatGPT Image May 4, 2026, 08_26_06 PM (4).png	1672	941	audio_photo_style	corporate_event	Close-up of wireless microphone in front of a staged ballroom.	miami_ceremony_audio_or_corporate_gallery	Wireless microphone on a table in front of a staged ballroom.	microphone; audio; corporate; ballroom; speech	Good audio/speech-support visual.	
021	ChatGPT Image May 4, 2026, 08_26_06 PM (5).png	1672	941	cocktail_photo_style	private_event	Rooftop lounge event with guests, palm trees, and city lights.	miami_private_event_gallery	Rooftop lounge event with guests and Miami city lights.	rooftop; lounge; private_event; skyline; evening	Good private-event atmosphere image.	
022	ChatGPT Image May 4, 2026, 08_26_06 PM (6).png	1672	941	cocktail_photo_style	private_event	Dim rooftop lounge with seated guests and skyline backdrop.	miami_private_event_gallery	Dimly lit rooftop lounge event with a Miami skyline backdrop.	rooftop; lounge; skyline; private_event	Good moody event image; may need brighter crop.	
023	ChatGPT Image May 4, 2026, 08_26_06 PM (7).png	1672	941	planning_photo_style	corporate_event	Event team reviewing details in a formal ballroom.	miami_planner_friendly_gallery	Event professionals reviewing details in a formal Miami ballroom.	planner; coordination; corporate; ballroom	Good planning/process image.	
024	ChatGPT Image May 4, 2026, 08_26_07 PM (10).png	1672	941	audio_photo_style	corporate_event	Digital audio console and tablet in a ballroom.	miami_corporate_audio_gallery	Digital audio console and tablet set up in a Miami ballroom.	audio_console; mixer; tablet; corporate; AV	Good production-equipment image.	
025	ChatGPT Image May 4, 2026, 08_26_07 PM (8).png	1672	941	production_photo_style	corporate_event	Rolling production cases and speaker stands in hotel corridor.	miami_production_process_gallery	Event production cases and stands staged in a hotel corridor.	production; load_in; gear; hotel_event	Useful behind-the-scenes production image.	
026	ChatGPT Image May 4, 2026, 08_26_07 PM (9).png	1672	941	cocktail_photo_style	corporate_event	Guests mingling on waterfront terrace near sunset.	miami_corporate_event_gallery	Guests mingling on a Miami waterfront terrace near sunset.	cocktail_hour; waterfront; terrace; corporate	Good cocktail-hour and venue atmosphere image.	
027	ChatGPT Image May 4, 2026, 08_26_29 PM (1).png	1672	941	cocktail_photo_style	corporate_event	Large rooftop reception with downtown Miami skyline.	miami_corporate_event_gallery	Large rooftop reception with downtown Miami skyline at dusk.	rooftop; corporate; skyline; cocktail_reception	Strong corporate/private-event image.	
028	ChatGPT Image May 4, 2026, 08_26_30 PM (2).png	1672	941	corporate_photo_style	corporate_event	Ballroom conference setup with presentation screens.	miami_corporate_event_gallery	Corporate ballroom with presentation screens and seated audience.	corporate; conference; ballroom; screens; AV	Good conference audio/production image.	
029	ChatGPT Image May 4, 2026, 08_26_30 PM (3).png	1672	941	dj_photo_style	corporate_event	DJ booth facing a corporate reception with Miami signage.	miami_corporate_dj_gallery	DJ booth facing guests at a Miami corporate reception.	DJ; corporate; reception; skyline; signage	Good corporate DJ image.	
030	ChatGPT Image May 4, 2026, 08_26_30 PM (4).png	1672	941	audio_photo_style	corporate_event	Podium microphone and event tablet in conference room.	miami_corporate_audio_gallery	Podium microphone and event tablet in a Miami conference room.	podium; microphone; conference; corporate; AV	Good speech and presentation-support image.	
031	ChatGPT Image May 4, 2026, 08_26_30 PM (5).png	1672	941	cocktail_photo_style	corporate_event	Outdoor branded reception with architectural lighting and skyline.	miami_corporate_event_gallery	Outdoor branded reception with architectural lighting and Miami skyline.	brand_event; outdoor; skyline; lighting; corporate	Strong brand-event image.	
032	ChatGPT Image May 4, 2026, 08_26_30 PM (6).png	1672	941	cocktail_photo_style	private_event	Night terrace lounge overlooking downtown Miami.	miami_private_event_gallery	Guests seated at a night terrace lounge overlooking downtown Miami.	terrace; lounge; skyline; private_event; evening	Good private-event image.	
033	ChatGPT Image May 4, 2026, 08_26_31 PM (10).png	1672	941	audio_photo_style	corporate_event	Audio console and tablet in ballroom with blue uplighting.	miami_corporate_audio_gallery	Audio console and tablet in a ballroom with blue uplighting.	audio_console; mixer; tablet; ballroom; corporate	Good production-equipment image.	
034	ChatGPT Image May 4, 2026, 08_26_31 PM (7).png	1672	941	planning_photo_style	corporate_event	Event professionals reviewing a binder in a ballroom.	miami_planner_friendly_gallery	Event professionals reviewing a binder in a Miami ballroom.	planner; timeline; coordination; ballroom	Good client/planner process image.	
035	ChatGPT Image May 4, 2026, 08_26_31 PM (8).png	1672	941	production_photo_style	corporate_event	Production crew and rolling road cases in hotel event corridor.	miami_production_process_gallery	Production crew moving event equipment through a hotel corridor.	production; load_in; road_cases; corporate	Useful behind-the-scenes production image.	
036	ChatGPT Image May 4, 2026, 08_26_31 PM (9).png	1672	941	audio_photo_style	corporate_event	Outdoor event area with speakers and seated guests.	miami_corporate_audio_gallery	Outdoor Miami event area with speakers and seated guests.	outdoor_event; speaker; audio; guests	Good outdoor audio-support image.	
037	ChatGPT Image May 4, 2026, 08_26_55 PM (1).png	1672	941	cocktail_photo_style	corporate_event	Large rooftop reception with downtown Miami skyline.	miami_corporate_event_gallery	Large rooftop reception with downtown Miami skyline at dusk.	rooftop; corporate; skyline; cocktail_reception	Near-duplicate of index 027.	027
038	ChatGPT Image May 4, 2026, 08_26_55 PM (10).png	1672	941	audio_photo_style	corporate_event	Audio console and tablet in ballroom with blue uplighting.	miami_corporate_audio_gallery	Audio console and tablet in a ballroom with blue uplighting.	audio_console; mixer; tablet; ballroom; corporate	Near-duplicate of index 033.	033
039	ChatGPT Image May 4, 2026, 08_26_55 PM (2).png	1672	941	corporate_photo_style	corporate_event	Ballroom conference setup with presentation screens.	miami_corporate_event_gallery	Corporate ballroom with presentation screens and seated audience.	corporate; conference; ballroom; screens; AV	Near-duplicate of index 028.	028
040	ChatGPT Image May 4, 2026, 08_26_55 PM (3).png	1672	941	dj_photo_style	corporate_event	DJ booth facing a corporate reception with Miami signage.	miami_corporate_dj_gallery	DJ booth facing guests at a Miami corporate reception.	DJ; corporate; reception; skyline; signage	Near-duplicate of index 029.	029
041	ChatGPT Image May 4, 2026, 08_26_55 PM (4).png	1672	941	audio_photo_style	corporate_event	Podium microphone and event tablet in conference room.	miami_corporate_audio_gallery	Podium microphone and event tablet in a Miami conference room.	podium; microphone; conference; corporate; AV	Near-duplicate of index 030.	030
042	ChatGPT Image May 4, 2026, 08_26_55 PM (5).png	1672	941	cocktail_photo_style	corporate_event	Outdoor branded reception with architectural lighting and skyline.	miami_corporate_event_gallery	Outdoor branded reception with architectural lighting and Miami skyline.	brand_event; outdoor; skyline; lighting; corporate	Near-duplicate of index 031.	031
043	ChatGPT Image May 4, 2026, 08_26_55 PM (6).png	1672	941	cocktail_photo_style	private_event	Night terrace lounge overlooking downtown Miami.	miami_private_event_gallery	Guests seated at a night terrace lounge overlooking downtown Miami.	terrace; lounge; skyline; private_event; evening	Near-duplicate of index 032.	032
044	ChatGPT Image May 4, 2026, 08_26_55 PM (7).png	1672	941	planning_photo_style	corporate_event	Event professionals reviewing a binder in a ballroom.	miami_planner_friendly_gallery	Event professionals reviewing a binder in a Miami ballroom.	planner; timeline; coordination; ballroom	Near-duplicate of index 034.	034
045	ChatGPT Image May 4, 2026, 08_26_55 PM (8).png	1672	941	production_photo_style	corporate_event	Production crew and rolling road cases in hotel event corridor.	miami_production_process_gallery	Production crew moving event equipment through a hotel corridor.	production; load_in; road_cases; corporate	Near-duplicate of index 035.	035
046	ChatGPT Image May 4, 2026, 08_26_55 PM (9).png	1672	941	audio_photo_style	corporate_event	Outdoor event area with speakers and seated guests.	miami_corporate_audio_gallery	Outdoor Miami event area with speakers and seated guests.	outdoor_event; speaker; audio; guests	Near-duplicate of index 036.	036
047	ChatGPT Image May 4, 2026, 08_27_13 PM (1).png	1672	941	event_photo_style	quinceanera	Quinceanera guest of honor posed in a pink ballroom.	miami_quinceanera_gallery	Quinceanera guest of honor standing in a pink ballroom.	quinceanera; ballroom; portrait; pink	Strong quinceanera image.	
048	ChatGPT Image May 4, 2026, 08_27_13 PM (2).png	1672	941	event_photo_style	quinceanera	Quinceanera ballroom entrance with guests applauding.	miami_quinceanera_gallery	Quinceanera ballroom entrance with guests applauding.	quinceanera; entrance; ballroom; applause	Strong formal-moment image.	
049	ChatGPT Image May 4, 2026, 08_27_13 PM (3).png	1672	941	event_photo_style	quinceanera	Quinceanera waltz or formal dance in ornate ballroom.	miami_quinceanera_gallery	Quinceanera formal dance in an ornate Miami ballroom.	quinceanera; waltz; formal_dance; ballroom	Good quince waltz image.	
050	ChatGPT Image May 4, 2026, 08_27_13 PM (4).png	1672	941	event_photo_style	quinceanera	Family formal moment with quinceanera guest of honor.	miami_quinceanera_gallery	Family formal moment with quinceanera guest of honor in a ballroom.	quinceanera; family; formal_moment; ballroom	Good family-moment image.	
051	ChatGPT Image May 4, 2026, 08_27_14 PM (5).png	1672	941	event_photo_style	quinceanera	Quinceanera court entrance with guests gathered around dance floor.	miami_quinceanera_gallery	Quinceanera court entrance with guests gathered around the dance floor.	quinceanera; court; entrance; dance_floor	Good formal entrance image.	
052	ChatGPT Image May 4, 2026, 08_27_14 PM (6).png	1672	941	event_photo_style	quinceanera	Family and guests dancing during a quinceanera reception.	miami_quinceanera_gallery	Family and guests dancing during a quinceanera reception.	quinceanera; dance_floor; family; reception	Good party-energy image.	
053	ChatGPT Image May 4, 2026, 08_27_14 PM (7).png	1672	941	event_photo_style	quinceanera	Quinceanera formal dance in pink-lit ballroom.	miami_quinceanera_gallery	Quinceanera formal dance in a pink-lit ballroom.	quinceanera; waltz; ballroom; uplighting	Good formal dance image.	
054	ChatGPT Image May 4, 2026, 08_27_14 PM (8).png	1672	941	dj_photo_style	quinceanera	DJ booth overlooking quinceanera crowd with formal script display.	miami_quinceanera_dj_gallery	DJ booth overlooking a quinceanera crowd in a ballroom.	DJ; quinceanera; MC; ballroom; crowd	Strong DJ/MC image for quince page.	
055	ChatGPT Image May 4, 2026, 08_27_14 PM (9).png	1672	941	event_photo_style	quinceanera	Crowded quinceanera dance floor with blue and amber lighting.	miami_quinceanera_gallery	Crowded quinceanera dance floor with blue and amber lighting.	quinceanera; dance_floor; crowd; lighting	Strong dance-floor energy image.	
056	ChatGPT Image May 4, 2026, 08_27_15 PM (10).png	1672	941	event_photo_style	quinceanera	Family seated at ornate quinceanera head table.	miami_quinceanera_gallery	Family seated at an ornate quinceanera head table.	quinceanera; head_table; family; ballroom	Good dinner/family image.	
057	ChatGPT Image May 4, 2026, 08_27_36 PM (1).png	1672	941	event_photo_style	wedding_reception	Packed ballroom dance floor with DJ lighting and stage beams.	miami_wedding_or_lighting_gallery	Packed ballroom dance floor with DJ lighting and stage beams.	wedding; reception; dance_floor; lighting; ballroom	Strong dance-floor/lighting image.	
058	ChatGPT Image May 4, 2026, 08_27_36 PM (2).png	1672	941	event_photo_style	wedding_reception	Couple first dance in ornate ballroom with guests watching.	miami_wedding_dj_gallery	Couple sharing a first dance in an ornate Miami ballroom.	wedding; first_dance; ballroom; reception	Good wedding formal-moment image.	
059	ChatGPT Image May 4, 2026, 08_27_36 PM (3).png	1672	941	event_photo_style	wedding_reception	Couple performing choreographed dance with guests surrounding floor.	miami_wedding_dj_gallery	Couple performing a choreographed dance with guests surrounding the floor.	wedding; choreographed_dance; reception; dance_floor	Good high-energy formal dance image.	
060	ChatGPT Image May 4, 2026, 08_27_37 PM (4).png	1672	941	event_photo_style	wedding_reception	Hora loca or party dancers lifting couple props over packed dance floor.	miami_wedding_or_hora_loca_gallery	Hora loca style party moment on a packed Miami wedding dance floor.	hora_loca; wedding; dance_floor; party; dancers	Strong high-energy reception image.	
061	ChatGPT Image May 4, 2026, 08_27_37 PM (5).png	1672	941	event_photo_style	wedding_reception	Couple dancing with guests in formal ballroom.	miami_wedding_dj_gallery	Couple dancing with guests during a formal ballroom wedding reception.	wedding; reception; dance_floor; ballroom	Good reception image.	
062	ChatGPT Image May 4, 2026, 08_27_37 PM (6).png	1672	941	event_photo_style	wedding_reception	Couple first dance with guests around an ornate dance floor.	miami_wedding_dj_gallery	Couple first dance with guests around an ornate dance floor.	wedding; first_dance; ballroom; guests	Good wedding formal-moment image.	
063	ChatGPT Image May 4, 2026, 08_27_37 PM (7).png	1672	941	event_photo_style	wedding_reception	Ballroom wedding reception with full dance floor and stage beams.	miami_wedding_or_lighting_gallery	Ballroom wedding reception with a full dance floor and stage beams.	wedding; dance_floor; stage_lighting; ballroom	Strong lighting/dance-floor image.	
064	ChatGPT Image May 4, 2026, 08_27_37 PM (8).png	1672	941	event_photo_style	wedding_reception	Gold ballroom dinner setup with floral centerpieces and candles.	miami_event_lighting_gallery	Gold ballroom dinner setup with floral centerpieces and candles.	wedding; ballroom; dinner; floral; candles	Good room transformation and decor image.	
065	ChatGPT Image May 4, 2026, 08_27_37 PM (9).png	1672	941	event_photo_style	event_lighting	Colorful ballroom lighting with pink, teal, and blue wash.	miami_event_lighting_gallery	Colorful ballroom lighting with pink, teal, and blue wash.	lighting; uplighting; ballroom; room_transformation	Strong lighting page image.	
066	ChatGPT Image May 4, 2026, 08_27_38 PM (10).png	1672	941	cocktail_photo_style	wedding_reception	Outdoor rooftop wedding reception with skyline and purple lighting.	miami_wedding_or_private_event_gallery	Outdoor rooftop wedding reception with skyline and purple lighting.	rooftop; wedding; skyline; lighting; reception	Good rooftop wedding/private-event image.	
067	ChatGPT Image May 4, 2026, 08_27_52 PM (1).png	1672	941	event_photo_style	wedding_reception	Couple grand entrance with sparklers and cheering guests.	miami_wedding_dj_gallery	Couple grand entrance with sparklers and cheering guests.	wedding; grand_entrance; sparklers; reception	Strong entrance image.	
068	ChatGPT Image May 4, 2026, 08_27_52 PM (2).png	1672	941	event_photo_style	wedding_reception	Couple first dance on monogram dance floor.	miami_wedding_dj_gallery	Couple first dance on a monogram dance floor.	wedding; first_dance; monogram; ballroom	Good formal dance image.	
069	ChatGPT Image May 4, 2026, 08_27_52 PM (3).png	1672	941	event_photo_style	wedding_reception	Close first dance moment with guests watching.	miami_wedding_dj_gallery	Close first dance moment with guests watching.	wedding; first_dance; ballroom; guests	Good emotional formal-moment image.	
070	ChatGPT Image May 4, 2026, 08_27_53 PM (4).png	1672	941	event_photo_style	wedding_reception	Wedding party entrance with guests seated along aisle.	miami_wedding_dj_gallery	Wedding party entrance with guests seated along the aisle.	wedding; entrance; wedding_party; reception	Good reception-flow image.	
071	ChatGPT Image May 4, 2026, 08_27_53 PM (5).png	1672	941	mc_photo_style	wedding_reception	MC making announcement from DJ booth in ballroom.	miami_wedding_mc_gallery	MC making an announcement from a DJ booth in a Miami ballroom.	MC; microphone; wedding; DJ_booth; announcement	Strong MC/speech image.	
072	ChatGPT Image May 4, 2026, 08_27_53 PM (6).png	1672	941	planning_photo_style	wedding_reception	Event planner holding open timeline binder.	miami_planner_friendly_gallery	Event planner holding an open timeline binder in a ballroom.	planner; timeline; binder; wedding; coordination	Good planning/process image.	
073	ChatGPT Image May 4, 2026, 08_27_53 PM (7).png	1672	941	detail_photo_style	wedding_reception	Wedding stationery and place setting on reception table.	miami_wedding_detail_gallery	Wedding stationery and place setting on a reception table.	wedding; stationery; place_setting; details	Good detail image; not DJ-specific.	
074	ChatGPT Image May 4, 2026, 08_27_54 PM (10).png	1672	941	event_photo_style	wedding_reception	Ballroom reception with stage lighting over packed dance floor.	miami_wedding_or_lighting_gallery	Ballroom reception with stage lighting over a packed dance floor.	wedding; dance_floor; lighting; ballroom	Strong dance lighting image.	
075	ChatGPT Image May 4, 2026, 08_27_54 PM (8).png	1672	941	production_photo_style	wedding_reception	Production crew setting up DJ and lighting gear in ballroom.	miami_production_process_gallery	Production crew setting up DJ and lighting gear in a ballroom.	production; setup; DJ; lighting; ballroom	Good behind-the-scenes setup image.	
076	ChatGPT Image May 4, 2026, 08_27_54 PM (9).png	1672	941	mc_photo_style	wedding_reception	Speaker giving toast with guests seated at reception.	miami_wedding_mc_gallery	Speaker giving a toast with guests seated at a wedding reception.	toast; speech; microphone; wedding; reception	Good speech/MC-support image.	
077	ChatGPT Image May 4, 2026, 08_28_21 PM (1).png	1672	941	event_photo_style	event_lighting	Empty ballroom dance floor with purple uplighting and patterned wash.	miami_event_lighting_gallery	Empty ballroom dance floor with purple uplighting and patterned wash.	uplighting; dance_floor; ballroom; lighting	Strong room-transformation image.	
078	ChatGPT Image May 4, 2026, 08_28_21 PM (2).png	1672	941	planning_photo_style	wedding_reception	Couple and planner reviewing event notes in decorated ballroom.	miami_planner_friendly_gallery	Couple and planner reviewing event notes in a decorated ballroom.	planner; couple; timeline; wedding; coordination	Good planning/process image.	
079	ChatGPT Image May 4, 2026, 08_28_21 PM (3).png	1672	941	audio_photo_style	wedding_ceremony	Ceremony microphone in foreground with waterfront wedding in background.	miami_ceremony_audio_gallery	Ceremony microphone set before a waterfront Miami wedding.	ceremony; microphone; waterfront; wedding; audio	Strong ceremony audio image.	
080	ChatGPT Image May 4, 2026, 08_28_22 PM (4).png	1672	941	event_photo_style	wedding_ceremony	Close view of waterfront wedding vows with skyline behind.	miami_ceremony_audio_gallery	Couple exchanging vows at a waterfront Miami wedding ceremony.	ceremony; vows; waterfront; skyline; wedding	Strong ceremony image.	
081	ChatGPT Image May 4, 2026, 08_28_22 PM (5).png	1672	941	event_photo_style	wedding_ceremony	Close vow exchange at waterfront ceremony.	miami_ceremony_audio_gallery	Close vow exchange at a waterfront Miami wedding ceremony.	ceremony; vows; waterfront; wedding	Near-duplicate of index 080.	080
082	ChatGPT Image May 4, 2026, 08_28_22 PM (6).png	1672	941	audio_photo_style	wedding_ceremony	Ceremony aisle, floral arch, speaker, and waterfront skyline.	miami_ceremony_audio_gallery	Waterfront wedding ceremony setup with speaker, floral arch, and skyline.	ceremony; speaker; floral_arch; waterfront; audio	Strong ceremony audio setup image.	
083	ChatGPT Image May 4, 2026, 08_28_22 PM (7).png	1672	941	event_photo_style	wedding_ceremony	Waterfront ceremony aisle with floral arch and guests.	miami_ceremony_audio_gallery	Waterfront ceremony aisle with floral arch and guests.	ceremony; aisle; floral_arch; waterfront; wedding	Strong ceremony image.	
084	ChatGPT Image May 4, 2026, 08_28_22 PM (8).png	1672	941	mc_photo_style	wedding_reception	Couple listening to a toast during candlelit reception.	miami_wedding_mc_gallery	Couple listening to a toast during a candlelit wedding reception.	toast; wedding; reception; microphone; candlelight	Good speech/toast image.	
085	ChatGPT Image May 4, 2026, 08_28_23 PM (10).png	1672	941	audio_photo_style	wedding_reception	Audio rack, mixer, and laptop at reception.	miami_audio_gallery	Audio rack, mixer, and laptop set up for a Miami reception.	audio; mixer; rack; laptop; reception	Good production-equipment image.	
086	ChatGPT Image May 4, 2026, 08_28_23 PM (9).png	1672	941	dj_photo_style	wedding_reception	DJ controller and laptop with reception in background.	miami_dj_gallery	DJ controller and laptop set up during a Miami reception.	DJ; controller; laptop; reception; music	Good DJ-equipment image.	
087	ChatGPT Image May 4, 2026, 08_28_50 PM (1).png	1672	941	event_photo_style	event_lighting	Empty ballroom dance floor with purple uplighting and patterned wash.	miami_event_lighting_gallery	Empty ballroom dance floor with purple uplighting and patterned wash.	uplighting; dance_floor; ballroom; lighting	Near-duplicate of index 077.	077
088	ChatGPT Image May 4, 2026, 08_28_50 PM (10).png	1672	941	audio_photo_style	wedding_reception	Audio rack, mixer, and laptop at reception.	miami_audio_gallery	Audio rack, mixer, and laptop set up for a Miami reception.	audio; mixer; rack; laptop; reception	Near-duplicate of index 085.	085
089	ChatGPT Image May 4, 2026, 08_28_50 PM (2).png	1672	941	planning_photo_style	wedding_reception	Couple and planner reviewing event notes in decorated ballroom.	miami_planner_friendly_gallery	Couple and planner reviewing event notes in a decorated ballroom.	planner; couple; timeline; wedding; coordination	Near-duplicate of index 078.	078
090	ChatGPT Image May 4, 2026, 08_28_50 PM (3).png	1672	941	audio_photo_style	wedding_ceremony	Ceremony microphone in foreground with waterfront wedding in background.	miami_ceremony_audio_gallery	Ceremony microphone set before a waterfront Miami wedding.	ceremony; microphone; waterfront; wedding; audio	Near-duplicate of index 079.	079
091	ChatGPT Image May 4, 2026, 08_28_50 PM (4).png	1672	941	event_photo_style	wedding_ceremony	Close view of waterfront wedding vows with skyline behind.	miami_ceremony_audio_gallery	Couple exchanging vows at a waterfront Miami wedding ceremony.	ceremony; vows; waterfront; skyline; wedding	Near-duplicate of index 080.	080
092	ChatGPT Image May 4, 2026, 08_28_50 PM (5).png	1672	941	event_photo_style	wedding_ceremony	Close vow exchange at waterfront ceremony.	miami_ceremony_audio_gallery	Close vow exchange at a waterfront Miami wedding ceremony.	ceremony; vows; waterfront; wedding	Near-duplicate of index 081.	081
093	ChatGPT Image May 4, 2026, 08_28_50 PM (6).png	1672	941	audio_photo_style	wedding_ceremony	Ceremony aisle, floral arch, speaker, and waterfront skyline.	miami_ceremony_audio_gallery	Waterfront wedding ceremony setup with speaker, floral arch, and skyline.	ceremony; speaker; floral_arch; waterfront; audio	Near-duplicate of index 082.	082
094	ChatGPT Image May 4, 2026, 08_28_50 PM (7).png	1672	941	event_photo_style	wedding_ceremony	Waterfront ceremony aisle with floral arch and guests.	miami_ceremony_audio_gallery	Waterfront ceremony aisle with floral arch and guests.	ceremony; aisle; floral_arch; waterfront; wedding	Near-duplicate of index 083.	083
095	ChatGPT Image May 4, 2026, 08_28_50 PM (8).png	1672	941	mc_photo_style	wedding_reception	Couple listening to a toast during candlelit reception.	miami_wedding_mc_gallery	Couple listening to a toast during a candlelit wedding reception.	toast; wedding; reception; microphone; candlelight	Near-duplicate of index 084.	084
096	ChatGPT Image May 4, 2026, 08_28_50 PM (9).png	1672	941	dj_photo_style	wedding_reception	DJ controller and laptop with reception in background.	miami_dj_gallery	DJ controller and laptop set up during a Miami reception.	DJ; controller; laptop; reception; music	Near-duplicate of index 086.	086
097	ChatGPT Image May 4, 2026, 08_29_04 PM (1).png	1672	941	event_photo_style	wedding_reception	Couple and guests dancing in warm candlelit ballroom.	miami_wedding_dj_gallery	Couple and guests dancing in a warm candlelit ballroom.	wedding; reception; dance_floor; candlelight	Good reception image.	
098	ChatGPT Image May 4, 2026, 08_29_04 PM (2).png	1672	941	event_photo_style	wedding_ceremony	Waterfront ceremony aisle with floral arch and guests.	miami_ceremony_audio_gallery	Waterfront ceremony aisle with floral arch and guests.	ceremony; aisle; floral_arch; waterfront; wedding	Near-duplicate of index 083.	083
099	ChatGPT Image May 4, 2026, 08_29_04 PM (3).png	1672	941	event_photo_style	wedding_ceremony	Couple exchanging vows at waterfront ceremony.	miami_ceremony_audio_gallery	Couple exchanging vows at a waterfront Miami ceremony.	ceremony; vows; waterfront; skyline; wedding	Near-duplicate of index 080.	080
100	ChatGPT Image May 4, 2026, 08_29_04 PM (4).png	1672	941	dj_photo_style	wedding_reception	DJ or MC at white booth facing crowded ballroom reception.	miami_wedding_dj_gallery	DJ at a white booth facing a crowded Miami ballroom reception.	DJ; MC; wedding; ballroom; crowd	Strong DJ/MC image.	
101	ChatGPT Image May 4, 2026, 08_29_05 PM (5).png	1672	941	event_photo_style	wedding_reception	Guests dancing in a lively ballroom reception.	miami_wedding_dj_gallery	Guests dancing in a lively Miami ballroom reception.	wedding; dance_floor; reception; guests	Good party-energy image.	
102	ChatGPT Image May 4, 2026, 08_29_05 PM (6).png	1672	941	event_photo_style	quinceanera	Quinceanera formal dance with pink floral decor.	miami_quinceanera_gallery	Quinceanera formal dance with pink floral decor.	quinceanera; waltz; floral; ballroom	Strong quince formal-moment image.	
103	ChatGPT Image May 4, 2026, 08_29_05 PM (7).png	1672	941	event_photo_style	quinceanera	Quinceanera twirl on ornate ballroom dance floor.	miami_quinceanera_gallery	Quinceanera twirl on an ornate ballroom dance floor.	quinceanera; twirl; ballroom; formal_dance	Strong quince formal-moment image.	
104	ChatGPT Image May 4, 2026, 08_29_05 PM (8).png	1672	941	cocktail_photo_style	corporate_event	Night rooftop cocktail event with downtown skyline.	miami_corporate_event_gallery	Night rooftop cocktail event with downtown Miami skyline.	rooftop; cocktail_hour; skyline; corporate; evening	Strong corporate/private-event image.	
105	ChatGPT Image May 4, 2026, 08_29_05 PM (9).png	1672	941	dj_photo_style	corporate_event	DJ booth overlooking ballroom presentation or reception.	miami_corporate_dj_gallery	DJ booth overlooking a Miami ballroom presentation or reception.	DJ; corporate; ballroom; presentation; reception	Good corporate DJ image.	
106	ChatGPT Image May 4, 2026, 08_29_06 PM (10).png	1672	941	event_photo_style	event_lighting	Empty ballroom dance floor with purple uplighting and floral decor.	miami_event_lighting_gallery	Empty ballroom dance floor with purple uplighting and floral decor.	uplighting; ballroom; dance_floor; room_transformation	Strong lighting page image.	
